p_id,p_name,p_brand,p_description,p_img_url,p_cost,p_quantity
18,Men's 5-Pack Lightweight Breathable Moisture Wicking Mesh Shorts,Galaxy by Harvic,"Material: This Men's Athletic Shorts are perfect for any athletic activity. Crafted from 100% polyester fabric, they are soft and lightweight to keep you comfortable while you work out or play sports.",https://i5.walmartimages.com/asr/04d0efc7-2e77-4eb2-a7c1-9df32363499a.0ebf23b730dcb2fa551d75b612af27f3.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,26.97,35
19,"Hanes Men's and Big Men's Cotton Flannel Pajama Set, 2-Piece With Big & Tall Sizing",Hanes,"Hanes Men's and Big Men's 100% Cotton Flannel Pajama Set, 2-Piece",https://i5.walmartimages.com/asr/b0078994-b2c0-4a8f-ae43-1dbced681f48.9fac4c122f22fa2752d48163af653c0c.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.98,28
20,Signature by Levi Strauss & Co. Men's Regular Fit Jeans,Signature by Levi Strauss & Co.,Merchandise,https://i5.walmartimages.com/asr/ad1532df-77da-45ee-9d37-5326685c5110.a87ddbf70fe3b6f19e24afc4ef85fea5.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,23.98,12
21,Men Dress Shirt Regular Fit Oxford Solid Color,Oxford,Men Dress Shirt Regular Fit Oxford Solid Color,https://i5.walmartimages.com/asr/4554b858-3631-4114-b54d-56bba9edd71b_1.e9e3af81097710482c6272c00ab9989b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,24.95,32
22,Disney Mickey Mouse & Minnie Mouse Christmas Matching Family Pajama Set,Minnie Mouse,"Minnie Mouse Women's Christmas Matching Family Pajama Set, 2-Piece, Sizes up to XL",https://i5.walmartimages.com/asr/bfe91a24-25a3-467b-bb70-6536c509157d.16b75eb5eabe0eb64bb7921fc4b985b5.png?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.99,31
23,Hanes Tall SUPER VALUE Men's Comfortsoft Fresh IQ A-Shirt 5 pack,Hanes,Feel soft and cool under your clothes when you wear this Hanes Tall Men's Tank. It is an essential for most wardrobes.This Hanes Comfortsoft tank comes in a convenient 5-pack. With Fresh IQ advanced,https://i5.walmartimages.com/asr/a11cd226-147f-43e1-b724-8e9727ce179f_1.224cf8f96f1ae12bfeffba746b4faae2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,18.99,22
24,"Russell Men's & Big Men's Fleece Pullover Hoodie, Sizes up to 3XL",Russell,"Russell Men's & Big Men's Fleece Pullover Hoodie, Sizes up to 3XL",https://i5.walmartimages.com/asr/0faeb30b-5ced-4a55-929f-c246b0c1fdcc.deb7935d11d8a6c3dec7ceb3260e5cbf.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13.86,10
25,Fruit of the loom SUPER VALUE 2 Pack Men's Big Men's Thermal Underwear Waffle Henley Top,Fruit of the Loom,Merchandise,https://i5.walmartimages.com/asr/0f3fc55b-f844-42b6-a3da-1e7243209405.95d61f53dd38dbdd46d98fd08d945809.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,15.98,13
26,"Athletic Works Men's and Big Men's Active Shorts Set, 2-Pack, Sizes up to 3XL",Athletic Works,"Athletic Works Men's and Big Men's Active Shorts Set, 2-Pack, Sizes up to 3XL",https://i5.walmartimages.com/asr/22361d39-d56d-418b-8b9b-5b40a77a9583.a583ea2f7e06952377959a536d95a076.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,14.96,25
27,"Russell Men's and Big Men's Active Shorts, 2-Pack, up to 5XL",Russell,"Russell Mens and Big Mens Shorts, 2-Pack, up to 5XL",https://i5.walmartimages.com/asr/ad87a3f6-ed4e-4a79-96fc-f73308d64311.e3452bd0a47f2894e8a1f701afe7e457.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,18.98,18
28,"Athletic Works Men's 8\"" Active Grid Mesh Drawstring Shorts, 2-Pack, Sizes S-3XL",Athletic Works,"Athletic Works Men's 8 Active Grid Mesh Drawstring Shorts, 2-Pack",https://i5.walmartimages.com/asr/2185601d-fca6-428d-95df-2b68f0da4019_1.d912a979859b48a3817f344dab38e5c9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,17.76,10
29,"Value Packs of Men's Black & White Ribbed 100% Cotton Tank Top A Shirts Undershirt (2XL, 6 Pack Mixed)",Famous Brand,"Durable, 100% Cotton, and ribbed knit for stretch.",https://i5.walmartimages.com/asr/19908a45-ae10-406c-a5f1-b3d6103d7898.cdf9ba0ab840aa13f0ee6f9a7a717de8.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,26.99,13
30,"Puma Men's and Big Men's Fleece Logo Joggers, Size S-XXL",PUMA,Puma Men's and Big Men's Fleece Logo Joggers,https://i5.walmartimages.com/asr/a022cb35-292c-4743-a29f-e6c4ffbc27f0.3d1ab1d382745eaf39b4d90d7f94825b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,20,34
31,"Puma Men's and Big Men's Essential Logo Full Zip Fleece Hoodie, Sizes up to XXL",PUMA,Puma Men's and Big Men's Fleece Logo Zip-Up Hoodie,https://i5.walmartimages.com/asr/a1a64804-e939-4e97-a203-ab296133d284.2905bee90483ce0c2b32cda3b6cd244a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,17.5,31
32,"No Boundaries Men's Elongated T-Shirt, 2-Pack",No Boundaries,"No Boundaries Men's Elongated T-Shirt, 2-Pack",https://i5.walmartimages.com/asr/865016df-ff15-499a-8358-7e3eee3d575d.7baa1fe09c67b0fabb04a9fa445ea439.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,17.96,20
33,George Men's Premium Pleated Regular Fit Khaki Pants,George,George Men's Premium Pleated Regular Fit Khaki Pants,https://i5.walmartimages.com/asr/460e5516-3ad0-4986-9422-40b93ec835e2_1.f84b2e66b62a8cc854bdd7290858a61a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.98,12
34,Reebok Women's Plus Size Mesh Lined Printed Focus Track Jacket with Front Pockets and Front Flap,Reebok,Reebok Women's Plus Size Mesh Lined Printed Focus Track Jacket with Front Pockets and Front Flap,https://i5.walmartimages.com/asr/039f34ea-b4d8-4785-82a0-99c8f4cf150f.3bbef033f9c9f9d0dd103430f9d2b91c.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,24.99,27
35,"Scoop Women's Side Knot Poplin Midi Shirt Dress with Long Sleeves, Sizes XS-XXL",Scoop,"Scoop Women's Side Knot Poplin Midi Shirt Dress with Long Sleeves, Sizes XS-XXL",https://i5.walmartimages.com/asr/1aaf61e3-962f-46f1-9016-cf1b463ed119.0612012b72ed15821cc230842c100108.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,31,10
36,No Boundaries Juniors Peasant Babydoll Dress,No Boundaries,No Boundaries Juniors Peasant Babydoll Dress,https://i5.walmartimages.com/asr/85fa463f-9054-4c2d-8fcb-5f1c92592a65.e00272b9e63734d6f13219f4d67eb9cb.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.98,19
37,No Boundaries Juniors Baby Doll Dress,No Boundaries,No Boundaries Juniors Baby Doll Dress,https://i5.walmartimages.com/asr/b65d32b1-f208-4b76-8ff9-bbf38bb7265a.817135f1c34bdf4fc26c29df1613319b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.98,34
38,Women's Casual Loose V-neck Waist T-shirt,PLNOTME,Women's Casual Loose V-neck Waist T-shirt,https://i5.walmartimages.com/asr/3bc12ec5-efc4-4d9c-892e-e503b0bc63dd.e32e37a1c6ecab3013be0df89ead0b70.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13.99,20
39,Time and Tru Women's Linen Shorts,Time and Tru,Time and Tru Women's Smocked Waist Linen Shorts,https://i5.walmartimages.com/asr/9e119648-803c-450c-8229-33116721895e.a5aaab1f844d35bd2f783a20b9a06279.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.98,25
40,Time and Tru Women's Tiered Cotton Poplin Dress,Time and Tru,Time and Tru Women's Tiered Cotton Poplin Dress,https://i5.walmartimages.com/asr/5bb1f42d-9297-413e-93bf-e74ec3e0b991.12e46a28aa66dac3254e5a4cfcbf4217.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,17.98,30
41,The Get Women\u2019s Long Sleeve Square Neck Mini Dress,The Get,"The Get Womens Long Sleeve Square Neck Mini Dress, Sizes XS-XXXL",https://i5.walmartimages.com/asr/aa4121e1-6e72-4ec8-8b4a-9b9a1cea6845.d31c94d20d467bb8e1d0a04446ebb0d0.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,29.98,10
