p_id,p_name,p_brand,p_description,p_img_url,p_cost,p_quantity
68,"Wonder Nation Boys Knit Shorts 3-Pack, Sizes 4-18 & Husky",Wonder Nation,"Wonder Nation Boys Knit Shorts 3-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/d438adde-540e-407c-afb9-61aa39147317.53630a20e05015ef203ffbb6c189cefb.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,18,34
69,"Freestyle Revolution Boys Dress Shirt, Vest, & Pant Outfit Set, 3-Piece, Sizes 4-14",Freestyle Revolution,"Freestyle Revolution Boys Dress Shirt, Vest and Pants Outfit Set, 3-Piece, Sizes 4-35",https://i5.walmartimages.com/asr/49561726-303d-4246-8f98-1f1420a92636.ac3342d65feeb97c9aa4953944d734dd.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.99,17
70,"Athletic Works Boys Woven Stretch Pants, 2-Pack, Sizes 4-18 & Husky",Athletic Works,"Athletic Works Boys Woven Stretch Pants, 2-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/8e4be14b-725b-4735-aac4-833182bfb021.d0aeceb05fa13d0cc5318c9de31c4308.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,15,17
71,"Athletic Works Boy Active Shorts, 2-Pack, Sizes 4-18 & Husky",Athletic Works,"Athletic Works Boy Core Shorts, 2-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/29057777-f8ce-4eea-b54d-cf5846540c71.6f369c67d9eceb981e98a2b53d737be1.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,11.5,30
72,"Wonder Nation Boys Quick Dry Rashguard and Swim Trunks Set, 2-Piece, Sizes 4-18 & Husky",Wonder Nation,"Wonder Nation Boys Quick Dry Rashguard and Swim Trunks Set, 2-Piece, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/d277778e-e97f-410a-8947-2d53b2f06b73.8f5dca3ea4a32e09637d6bc2af14768a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,20.27,14
73,"Athletic Works Soccer Short, 3-Pack, 4-18 & Husky",Athletic Works,Athletic Works Soccer Short,https://i5.walmartimages.com/asr/7f1b8a44-0f70-4b99-ba49-3583b216035c.95d82b6b01d13b45f7658754d086001a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12,12
74,"Cozy Jams Baby and Toddler Boy Pajama Sleepwear Set, 4-Piece, Sizes 12M-5T",Cozy Jams,"Cozy Jams Baby and Toddler Boys Pajama Sleepwear Set, 4-Piece, Sizes 12M-5T",https://i5.walmartimages.com/asr/dbac8dab-af50-4c89-ad22-3b09e6d63f7e.a8a384bedbe10a4197cab2f48f01791e.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,15.97,29
75,"Carter's Child of Mine Baby and Toddler Boy Shorts, 3-Pack, Sizes 12M-5T",Carter's Child of Mine,"Carter's Child of Mine Baby and Toddler Boy French Terry Shorts, 3-Pack, Sizes 12M-5T",https://i5.walmartimages.com/asr/07edc522-9bf8-4385-9b7e-dbaca5106523.94ca19589fefa3f17cf217c0aebacfe2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,9.75,31
76,"Spiderman Toddler Boys' Underwear, 6 Pack Sizes 2T-4T",Spider-Man,"Spiderman Toddler Boys' Underwear, 6 Pack",https://i5.walmartimages.com/asr/6dba0377-392f-4700-9e10-1c2a790fda16.8c70c3737fa68c6386c0280164a58257.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,9.98,14
77,"\""Carter's Child of Mine Baby and Toddler Boy Zip Hoodie Sweatshirts Multipack, 2-Pack, Sizes 12M-5T\""",Carter's Child of Mine,"Carter's Child of Mine Baby and Toddler Boy French Terry Zip Hoodie Sweatshirts Multipack, 2-Pack, Sizes 12M-5T",https://i5.walmartimages.com/asr/696fd676-25d8-4a52-9c2e-b384a42b2000.254614645b6264458281eca5db4b1ff2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,18.94,33
78,"Athletic Works Boys Tricot Shorts, 2-Pack, Sizes 4-18",Athletic Works,"Athletic Works Boys Tricot Shorts, 2-Pack, Sizes 4-18",https://i5.walmartimages.com/asr/67674c93-7780-4fca-bd51-6e105c55a59f.f12f7ecafdf809b4d89bb3937fae770a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,15,27
79,Disney Mickey Mouse & Minnie Mouse Christmas Matching Family Pajama Set,Minnie Mouse,"Minnie Mouse Women's Christmas Matching Family Pajama Set, 2-Piece, Sizes up to XL",https://i5.walmartimages.com/asr/bfe91a24-25a3-467b-bb70-6536c509157d.16b75eb5eabe0eb64bb7921fc4b985b5.png?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.99,34
80,"Marvel Boys Spider-Man Briefs, 5-Pack, Sizes 4-8",Spider-Man,"Marvel Boys Spider-Man Briefs, 5-Pack, Sizes 4-8",https://i5.walmartimages.com/asr/6a4a32a0-e933-4395-8d05-6ad01a42dda4_1.8dde48aada0de5c4ad5ebb71c9d8443f.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,9.98,34
81,"Wonder Nation Boys Tartan Boxer, 5 Pack",Wonder Nation,Boys Wonder Nation 5 Pack Tartan Boxer,https://i5.walmartimages.com/asr/72caa38d-a87f-4267-b4c6-05baf4c56a78_1.0a164aa33e6c0eee3979b8ac8792e800.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,10.48,33
82,"Wonder Nation Boys Ankle Sock, 20-Pack, Sizes S (4-8.5) - L (3-9)",Wonder Nation,"Wonder Nation Boys Ankle Socks, 20-Pack, Sizes S-L",https://i5.walmartimages.com/asr/7e9d69bf-9d0f-4831-942d-ad330d14061e.f7b31e527f556ec88f1d39e5f5ba02e4.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,11.98,27
83,"Athletic Works Boys Jersey Knit Joggers, 2-Pack, Sizes 4-18 & Husky",Athletic Works,"Athletic Works Boys Jersey Knit Joggers, 2-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/259306c9-7ab7-49e5-b69a-51baebb6c03b.db8cf211d4dd485f6d213d4991652256.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,17.98,21
84,Wonder Nation Young Mens School Uniform Short Sleeve Pique Polo Shirt,Wonder Nation,Wonder Nation Mens School Uniform Pique Short Sleeve Polo Shirt,https://i5.walmartimages.com/asr/04e182dd-9590-45d1-bb25-82c7e0d5577f.4962dcfacc7450c186f470fbee660618.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,7.88,10
85,"Hind Girls Fleece Top and Jogger, 2-Piece Active Set, Sizes 4-16",Hind,This Hind 2 piece fleece hoodie and jogger set is great for your girl. The set includes a raglan fleece hoodie and a matching jogger. This is a great set for lounging or playing in. She will love to,https://i5.walmartimages.com/asr/db07cccc-d833-4b66-8cac-4742a80f6196.1bf904a41f8e348e6f30d895ddfc1682.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.98,11
86,Madden NYC Juniors Smocked Peasant Dress with Tiered Skirt,Madden NYC,Madden NYC Juniors Smocked Peasant Dress with Tiered Skirt,https://i5.walmartimages.com/asr/fd78c790-d616-4026-8cf7-3d3b56e99136.a9d6006421a865d1e8131fd0ab38b83b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.5,26
87,Angel Face Girls\u2019 Nightgown Pajamas \u2013 3 Pack Sleepwear Night Dress Sleep Shirt (4-14),Angel Face,Angel Face Girls Nightgown Pajamas 3 Pack Sleepwear Night Dress Sleep Shirt (4-14),https://i5.walmartimages.com/asr/2e0bf6f3-4f37-4c3b-ba0b-c95c35b71980.6a17022af2be6e10959fdca064ce4a9e.png?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.99,28
88,PatPat Easter Mosaic Family Matching mommy and me Lemon Series Tank Dresses - Rompers - Tops\uff08Women\uff06Men\uff06baby\uff06Girls\uff06kids\uff09,PatPat,PatPat Mosaic Family Matching Lemon Series Tank Dresses - Rompers - TopsWomenMenbabyGirlskids,https://i5.walmartimages.com/asr/3109e6f1-d2f7-434c-b24a-93d0919355e9.033d6c3d681277ad44d360cf739b470a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.99,25
89,"Garanimals Baby and Toddler Girls Denim and Woven Skirts, 4-Pack, Sizes 12 Months-5T",Garanimals,"Garanimals Baby and Toddler Girls Denim and Woven Skirts, 4-Pack, Sizes 12 Months-5T",https://i5.walmartimages.com/asr/cfad90ea-05ab-4647-b2aa-f72db111f9fb.39dce5c93d0d780da41c48e1d39d9d8d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,23.92,19
90,"Scoop Girl's Metallic Foil Mini Skirt, Sizes 4-12",Scoop,"Scoop Girl's Metallic Foil Mini Skirt, Sizes 4-12",https://i5.walmartimages.com/asr/966b2e7f-ad45-49d2-bd0f-88effaa5f5e0.e41cdd7b431833e74acc84e35c209ca5.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,18,33
91,"Btween Girls Tiered Woven Dress with Long Sleeves, Sizes 4-6X",Btween,"Btween Girls Tiered Woven Dress with Long Sleeves, Sizes 4-6X",https://i5.walmartimages.com/asr/b24822fc-bf84-4e01-8f23-8901addbb050.f7d2e8a1933be416d5b467dc78967748.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,15.98,22
92,"LOLA Girls Ruffle Tank Pajama Romper with Sleep Mask, Sizes 4-16",LOLA,"LOLA Girls Ruffle Tank Pajama Romper with Sleep Mask, Sizes 4-16",https://i5.walmartimages.com/asr/312e03e2-7565-4885-a3f2-de7ee1ca6fb1.fa58cccaa3dd25be09d2332f0b102b63.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.98,17
